lmt,job,ncloseCreditCard,basicLevel,unpayNormalLoan,lmt_amt_bucket,lmt_business_bin,lmt_capacity_level,job_group,job_stability_level,job_risk_level,basic_level_clean,credit_history_level,multi_head_cnt_proxy,multi_head_level,credit_burden_level,debt_pressure_level,income_proxy_amt,income_proxy_level,expense_proxy_amt,expense_proxy_level,disposable_income_proxy_amt,cashflow_pressure_level,affordability_level,qualification_score,value_score,risk_score,strategy_segment,limit_recommend_amt,price_group,target
7.033,8,1,2,0,8000,6,4,4,2,4,2,3,1,2,1,2,6000,4,3000,3,2500,3,5,4,4,1,1,8000,2,0
6.296,3,1,1,1,8000,6,4,2,4,2,1,3,2,3,3,4,7000,4,4500,4,1500,3,5,3,3,2,2,6500,3,0
1.296,8,1,1,0,2000,3,2,4,2,4,1,3,1,2,1,1,3000,2,1500,1,1000,3,5,3,3,1,2,2000,3,0
6.63,4,1,3,0,8000,6,4,2,4,2,3,3,1,2,2,2,6000,4,3500,3,2000,3,5,4,4,1,1,8000,2,0
6.167,6,1,1,0,8000,6,4,3,3,3,1,3,1,2,1,2,7000,4,3500,3,3000,2,5,4,4,1,1,8000,2,0
4.4,4,1,1,0,5000,5,3,2,4,2,1,3,1,2,1,1,5000,3,2500,2,2000,3,5,4,4,1,1,5000,2,0
1.667,4,1,2,0,2000,3,2,2,4,2,2,3,1,2,1,1,3500,2,2000,2,1000,3,5,3,3,1,2,2000,3,0
2.53,3,1,1,0,3000,4,2,2,4,2,1,3,1,2,1,1,4500,3,2500,2,1500,3,5,4,3,1,2,3000,3,0
5.6,3,1,3,0,8000,6,4,2,4,2,3,3,1,2,2,2,6500,4,3500,3,2500,3,5,4,4,1,1,8000,2,0
3.296,1,0,1,0,5000,5,3,1,5,1,1,1,0,1,1,1,6000,4,2500,2,3500,2,5,4,3,1,2,5000,3,0
6.133,4,0,2,0,8000,6,4,2,4,2,2,1,0,1,1,1,6500,4,3000,3,3500,2,5,3,4,1,1,7500,2,0
3.6,3,0,1,0,5000,5,3,2,4,2,1,1,0,1,1,1,5500,4,2500,2,3000,2,5,4,3,1,2,5000,3,0
6.9,3,1,1,0,8000,6,4,2,4,2,1,3,1,2,1,2,7000,4,3500,3,3000,2,5,4,4,1,1,8000,2,0
1.163,10,0,1,0,2000,3,2,0,1,5,1,1,1,2,1,1,2500,1,1000,1,1500,3,5,3,2,2,3,1500,4,0
6.033,3,1,3,0,8000,6,4,2,4,2,3,3,1,2,2,2,6500,4,3500,3,2500,3,5,4,4,1,1,8000,2,0
1.6,4,0,3,0,2000,3,2,2,4,2,3,1,0,1,1,1,3000,2,1500,1,1500,3,5,3,3,2,2,1500,3,0
15.067,4,1,2,0,20000,9,5,2,4,2,2,3,2,3,2,2,10500,6,5500,5,4500,2,5,4,5,1,1,20500,1,0
2.633,4,1,2,0,3000,4,2,2,4,2,2,3,1,2,1,1,4000,3,2000,2,1500,3,5,3,3,1,2,3000,3,0
29.63,3,1,1,0,30000,10,5,2,4,2,1,3,2,3,2,2,13000,6,6500,5,6000,1,5,4,5,1,1,30500,1,0
3.533,4,0,3,0,5000,5,3,2,4,2,3,1,0,1,1,1,4500,3,2000,2,2500,3,5,3,3,2,2,4000,3,0
8,3,1,2,0,8000,6,4,2,4,2,2,3,1,2,1,2,7000,4,3500,3,3000,2,5,4,4,1,1,8000,2,0
12.963,2,1,1,1,15000,8,5,1,5,1,1,3,3,4,4,4,9500,5,6000,5,2000,3,5,3,4,2,1,12500,2,0
0.63,3,1,1,0,1000,2,1,2,4,2,1,3,1,2,1,1,3500,2,2000,2,1000,3,5,4,3,1,2,1000,3,0
1.6,4,1,2,0,2000,3,2,2,4,2,2,3,1,2,1,1,3500,2,2000,2,1000,3,5,3,3,1,2,2000,3,0
0.667,4,1,2,0,1000,2,1,2,4,2,2,3,1,2,1,1,3000,2,1500,1,1000,3,5,3,3,1,2,1000,3,0
6.5,3,1,2,0,8000,6,4,2,4,2,2,3,1,2,1,2,7000,4,3500,3,3000,2,5,4,4,1,1,8000,2,0
0.896,5,0,1,0,1000,2,1,3,3,3,1,1,0,1,1,1,2500,1,1000,1,1500,3,5,3,2,1,3,1000,4,0
1.296,5,0,3,0,2000,3,2,3,3,3,3,1,0,1,1,1,2500,1,1000,1,1500,3,5,3,2,2,3,1500,4,0
2.4,4,1,2,0,3000,4,2,2,4,2,2,3,1,2,1,1,4000,3,2000,2,1500,3,5,3,3,1,2,3000,3,0
2.03,3,1,1,0,3000,4,2,2,4,2,1,3,1,2,1,1,4500,3,2500,2,1500,3,5,4,3,1,2,3000,3,0
5.333,4,0,2,0,8000,6,4,2,4,2,2,1,0,1,1,1,6500,4,3000,3,3500,2,5,3,4,1,1,7500,2,0
56.296,3,1,1,0,80000,12,5,2,4,2,1,3,2,3,2,2,19000,7,9500,6,9000,1,5,4,5,1,1,50000,1,0
0.696,8,1,3,0,1000,2,1,4,2,4,3,3,1,2,2,1,2000,1,1000,1,500,4,4,3,2,1,3,1000,4,0
4.296,5,1,1,0,5000,5,3,3,3,3,1,3,1,2,1,1,4500,3,2500,2,1500,3,5,4,4,1,1,5000,2,1
1.8,5,0,1,0,2000,3,2,3,3,3,1,1,0,1,1,1,3000,2,1500,1,1500,3,5,3,3,1,2,2000,3,0
2.167,3,1,2,0,3000,4,2,2,4,2,2,3,1,2,1,1,4500,3,2500,2,1500,3,5,4,3,1,2,3000,3,0
7.6,4,1,2,0,8000,6,4,2,4,2,2,3,1,2,1,2,6500,4,3500,3,2500,3,5,4,4,1,1,8000,2,0
0.363,4,1,3,0,500,1,1,2,4,2,3,3,1,2,2,1,2000,1,1000,1,500,4,4,3,2,1,3,500,4,0
2.333,3,1,2,0,3000,4,2,2,4,2,2,3,1,2,1,1,4500,3,2500,2,1500,3,5,4,3,1,2,3000,3,0
11.2,6,1,2,0,15000,8,5,3,3,3,2,3,2,3,2,2,9500,5,5000,4,4000,2,5,4,5,1,1,15500,1,0
0.8,4,0,3,0,1000,2,1,2,4,2,3,1,0,1,1,1,2500,1,1000,1,1500,3,5,3,2,2,3,1000,4,0
16.963,2,1,1,0,20000,9,5,1,5,1,1,3,2,3,2,2,11000,6,5500,5,5000,1,5,4,5,1,1,20500,1,0
8.267,8,1,2,0,10000,7,5,4,2,4,2,3,1,2,1,2,7000,4,3500,3,3000,2,5,4,4,1,1,10000,2,0
2.263,6,1,1,0,3000,4,2,3,3,3,1,3,1,2,1,1,4500,3,2500,2,1500,3,5,4,3,1,2,3000,3,0
8.367,3,1,1,0,10000,7,5,2,4,2,1,3,1,2,1,2,8000,5,4000,4,3500,2,5,4,5,1,1,10000,1,0
8.667,3,1,1,0,10000,7,5,2,4,2,1,3,1,2,1,2,8000,5,4000,4,3500,2,5,4,5,1,1,10000,1,0
1.767,4,1,2,0,2000,3,2,2,4,2,2,3,1,2,1,1,3500,2,2000,2,1000,3,5,3,3,1,2,2000,3,0
7.667,3,1,1,0,8000,6,4,2,4,2,1,3,1,2,1,2,7000,4,3500,3,3000,2,5,4,4,1,1,8000,2,0
2.863,3,1,3,0,3000,4,2,2,4,2,3,3,1,2,2,1,4000,3,2000,2,1500,3,5,3,3,1,2,3000,3,0
1.496,2,1,1,1,2000,3,2,1,5,1,1,3,2,3,3,3,4000,3,2500,2,500,4,4,3,3,2,2,1500,3,0
6.1,3,1,2,0,8000,6,4,2,4,2,2,3,1,2,1,2,7000,4,3500,3,3000,2,5,4,4,1,1,8000,2,0
2.5,4,1,2,0,3000,4,2,2,4,2,2,3,1,2,1,1,4000,3,2000,2,1500,3,5,3,3,1,2,3000,3,0
1.4,4,1,3,0,2000,3,2,2,4,2,3,3,1,2,2,1,3000,2,1500,1,1000,3,5,3,3,1,2,2000,3,0
1.33,1,1,3,0,2000,3,2,1,5,1,3,3,1,2,2,1,4000,3,2000,2,1500,3,5,4,3,1,2,2000,3,0
3.967,8,1,3,0,5000,5,3,4,2,4,3,3,1,2,2,1,4000,3,2000,2,1500,3,5,3,4,1,1,4500,2,0
7.63,1,1,1,1,8000,6,4,1,5,1,1,3,2,3,3,4,7500,5,4500,4,2000,3,5,3,3,2,2,6500,3,0
1.163,4,1,3,0,2000,3,2,2,4,2,3,3,1,2,2,1,3000,2,1500,1,1000,3,5,3,3,1,2,2000,3,0
5.833,6,1,1,0,8000,6,4,3,3,3,1,3,1,2,1,2,7000,4,3500,3,3000,2,5,4,4,1,1,8000,2,0
10.296,2,1,1,0,15000,8,5,1,5,1,1,3,2,3,2,2,9500,5,5000,4,4000,2,5,4,5,1,1,15500,1,0
15.833,3,1,1,0,20000,9,5,2,4,2,1,3,2,3,2,2,11000,6,5500,5,5000,1,5,4,5,1,1,20500,1,0
4.133,8,1,3,0,5000,5,3,4,2,4,3,3,1,2,2,1,4000,3,2000,2,1500,3,5,3,4,1,1,4500,2,0
1.163,4,1,3,0,2000,3,2,2,4,2,3,3,1,2,2,1,3000,2,1500,1,1000,3,5,3,3,1,2,2000,3,0
3.333,3,1,3,0,5000,5,3,2,4,2,3,3,1,2,2,1,5000,3,3000,3,1500,3,5,4,4,1,1,5000,2,0
0.53,1,1,3,0,1000,2,1,1,5,1,3,3,1,2,2,1,3500,2,2000,2,1000,3,5,3,3,1,2,1000,3,0
11.963,4,1,1,0,15000,8,5,2,4,2,1,3,2,3,2,2,9000,5,4500,4,4000,2,5,4,5,1,1,15500,1,0
3.196,2,1,1,1,5000,5,3,1,5,1,1,3,2,3,3,3,5500,4,3500,3,1000,3,5,3,4,2,1,4000,2,0
2.93,3,1,1,0,3000,4,2,2,4,2,1,3,1,2,1,1,4500,3,2500,2,1500,3,5,4,3,1,2,3000,3,0
3.933,8,1,3,0,5000,5,3,4,2,4,3,3,1,2,2,1,4000,3,2000,2,1500,3,5,3,4,1,1,4500,2,0
9.667,3,1,3,0,10000,7,5,2,4,2,3,3,1,2,2,2,7500,5,4000,4,3000,2,5,4,5,1,1,10000,1,0
1.063,3,1,1,0,2000,3,2,2,4,2,1,3,1,2,1,1,4000,3,2000,2,1500,3,5,4,3,1,2,2000,3,0
6.633,4,1,3,0,8000,6,4,2,4,2,3,3,1,2,2,2,6000,4,3500,3,2000,3,5,4,4,1,1,8000,2,0
4.533,3,0,1,0,5000,5,3,2,4,2,1,1,0,1,1,1,5500,4,2500,2,3000,2,5,4,3,1,2,5000,3,0
1.6,4,1,2,0,2000,3,2,2,4,2,2,3,1,2,1,1,3500,2,2000,2,1000,3,5,3,3,1,2,2000,3,0
2.933,3,0,3,0,3000,4,2,2,4,2,3,1,0,1,1,1,4000,3,2000,2,2000,3,5,3,3,2,2,2500,3,0
4.296,3,1,1,0,5000,5,3,2,4,2,1,3,1,2,1,1,5500,4,3000,3,2000,3,5,4,4,1,1,5000,2,0
2.333,3,1,3,0,3000,4,2,2,4,2,3,3,1,2,2,1,4000,3,2000,2,1500,3,5,3,3,1,2,3000,3,0
7.63,1,1,1,1,8000,6,4,1,5,1,1,3,2,3,3,4,7500,5,4500,4,2000,3,5,3,3,2,2,6500,3,0
2.696,5,1,1,0,3000,4,2,3,3,3,1,3,1,2,1,1,3500,2,2000,2,1000,3,5,3,3,1,2,3000,3,0
1.196,4,1,3,1,2000,3,2,2,4,2,3,3,2,3,4,3,3000,2,2000,2,0,4,4,2,3,3,2,1500,3,0
2.2,6,1,3,0,3000,4,2,3,3,3,3,3,1,2,2,1,4000,3,2000,2,1500,3,5,3,3,1,2,3000,3,0
2.133,5,1,3,0,3000,4,2,3,3,3,3,3,1,2,2,1,3000,2,1500,1,1000,3,5,3,3,1,2,3000,3,0
3.7,5,1,3,0,5000,5,3,3,3,3,3,3,1,2,2,1,4000,3,2000,2,1500,3,5,3,4,1,1,4500,2,0
5.63,5,1,1,0,8000,6,4,3,3,3,1,3,1,2,1,2,6000,4,3000,3,2500,3,5,4,4,1,1,8000,2,0
1.696,4,1,1,0,2000,3,2,2,4,2,1,3,1,2,1,1,3500,2,2000,2,1000,3,5,4,3,1,2,2000,3,0
1.167,3,1,3,0,2000,3,2,2,4,2,3,3,1,2,2,1,3500,2,2000,2,1000,3,5,3,3,1,2,2000,3,0
1.063,3,0,1,0,2000,3,2,2,4,2,1,1,0,1,1,1,4000,3,2000,2,2000,3,5,3,3,1,2,2000,3,0
8.667,6,1,1,0,10000,7,5,3,3,3,1,3,1,2,1,2,8000,5,4000,4,3500,2,5,4,5,1,1,10000,1,0
4.1,4,1,2,0,5000,5,3,2,4,2,2,3,1,2,1,1,5000,3,2500,2,2000,3,5,4,4,1,1,5000,2,0
0.967,6,1,2,0,1000,2,1,3,3,3,2,3,1,2,1,1,3500,2,2000,2,1000,3,5,3,3,1,2,1000,3,0
6.3,4,0,3,0,8000,6,4,2,4,2,3,1,0,1,1,1,6000,4,3000,3,3000,2,5,3,4,2,1,6500,2,0
6.963,2,1,1,0,8000,6,4,1,5,1,1,3,1,2,1,2,7000,4,3500,3,3000,2,5,4,4,1,1,8000,2,0
4.067,1,1,1,0,5000,5,3,1,5,1,1,3,1,2,1,1,6000,4,3000,3,2500,3,5,4,4,1,1,5000,2,0
1.167,4,1,2,0,2000,3,2,2,4,2,2,3,1,2,1,1,3500,2,2000,2,1000,3,5,3,3,1,2,2000,3,0
3.733,3,1,1,0,5000,5,3,2,4,2,1,3,1,2,1,1,5500,4,3000,3,2000,3,5,4,4,1,1,5000,2,0
1.967,4,1,3,0,2000,3,2,2,4,2,3,3,1,2,2,1,3000,2,1500,1,1000,3,5,3,3,1,2,2000,3,0
1.533,7,1,3,0,2000,3,2,4,2,4,3,3,1,2,2,1,3000,2,1500,1,1000,3,5,3,3,1,2,2000,3,0
1.333,3,1,2,0,2000,3,2,2,4,2,2,3,1,2,1,1,4000,3,2000,2,1500,3,5,4,3,1,2,2000,3,0
5.296,1,1,1,1,8000,6,4,1,5,1,1,3,2,3,3,4,7500,5,4500,4,2000,3,5,3,3,2,2,6500,3,0
5.63,3,1,1,0,8000,6,4,2,4,2,1,3,1,2,1,2,7000,4,3500,3,3000,2,5,4,4,1,1,8000,2,0
2.333,4,1,1,0,3000,4,2,2,4,2,1,3,1,2,1,1,4000,3,2000,2,1500,3,5,4,3,1,2,3000,3,0
7.333,4,0,2,0,8000,6,4,2,4,2,2,1,0,1,1,1,6500,4,3000,3,3500,2,5,3,4,1,1,7500,2,0
7.333,2,1,3,0,8000,6,4,1,5,1,3,3,1,2,2,2,6500,4,3500,3,2500,3,5,4,4,1,1,8000,2,0
7.963,4,1,1,0,8000,6,4,2,4,2,1,3,1,2,1,2,6500,4,3500,3,2500,3,5,4,4,1,1,8000,2,0
7.963,4,1,1,1,8000,6,4,2,4,2,1,3,2,3,3,4,6500,4,4000,4,1500,3,5,3,3,2,2,6500,3,0
2.033,3,1,1,0,3000,4,2,2,4,2,1,3,1,2,1,1,4500,3,2500,2,1500,3,5,4,3,1,2,3000,3,0
2.896,3,1,1,0,3000,4,2,2,4,2,1,3,1,2,1,1,4500,3,2500,2,1500,3,5,4,3,1,2,3000,3,0
3.133,3,1,3,0,5000,5,3,2,4,2,3,3,1,2,2,1,5000,3,3000,3,1500,3,5,4,4,1,1,5000,2,0
0.73,5,1,1,1,1000,2,1,3,3,3,1,3,2,3,3,3,2500,1,1500,1,0,4,4,2,2,2,3,500,4,0
20.767,5,1,3,0,30000,10,5,3,3,3,3,3,2,3,3,2,11500,6,6500,5,4500,2,5,4,5,1,1,30500,1,0
6.3,4,0,3,0,8000,6,4,2,4,2,3,1,0,1,1,1,6000,4,3000,3,3000,2,5,3,4,2,1,6500,2,0
4.1,3,0,2,0,5000,5,3,2,4,2,2,1,0,1,1,1,5500,4,2500,2,3000,2,5,3,3,1,2,4500,3,0
1.667,4,0,3,0,2000,3,2,2,4,2,3,1,0,1,1,1,3000,2,1500,1,1500,3,5,3,3,2,2,1500,3,0
2.663,5,1,1,0,3000,4,2,3,3,3,1,3,1,2,1,1,3500,2,2000,2,1000,3,5,3,3,1,2,3000,3,0
7.63,8,1,1,1,8000,6,4,4,2,4,1,3,2,3,3,4,6000,4,3500,3,1500,3,5,3,3,2,2,6500,3,0
10.267,3,1,3,0,15000,8,5,2,4,2,3,3,2,3,3,2,9000,5,5000,4,3500,2,5,4,5,1,1,15500,1,0
4.6,3,1,3,0,5000,5,3,2,4,2,3,3,1,2,2,1,5000,3,3000,3,1500,3,5,4,4,1,1,5000,2,0
5.733,4,1,2,0,8000,6,4,2,4,2,2,3,1,2,1,2,6500,4,3500,3,2500,3,5,4,4,1,1,8000,2,0
2.03,5,1,3,0,3000,4,2,3,3,3,3,3,1,2,2,1,3000,2,1500,1,1000,3,5,3,3,1,2,3000,3,0
1.896,5,1,1,0,2000,3,2,3,3,3,1,3,1,2,1,1,3000,2,1500,1,1000,3,5,3,3,1,2,2000,3,0
2,5,1,2,0,2000,3,2,3,3,3,2,3,1,2,1,1,3000,2,1500,1,1000,3,5,3,3,1,2,2000,3,0
3,3,1,3,0,3000,4,2,2,4,2,3,3,1,2,2,1,4000,3,2000,2,1500,3,5,3,3,1,2,3000,3,0
7.963,4,1,3,0,8000,6,4,2,4,2,3,3,1,2,2,2,6000,4,3500,3,2000,3,5,4,4,1,1,8000,2,0
13.63,3,1,1,0,15000,8,5,2,4,2,1,3,2,3,2,2,9500,5,5000,4,4000,2,5,4,5,1,1,15500,1,0
4.667,6,1,1,0,5000,5,3,3,3,3,1,3,1,2,1,1,5500,4,3000,3,2000,3,5,4,4,1,1,5000,2,0
0.663,1,0,1,0,1000,2,1,1,5,1,1,1,0,1,1,1,4000,3,2000,2,2000,3,5,3,3,1,2,1000,3,0
8.633,3,1,1,1,10000,7,5,2,4,2,1,3,2,3,3,4,8000,5,5000,4,2000,3,5,3,4,2,1,8500,2,0
1.63,4,1,1,0,2000,3,2,2,4,2,1,3,1,2,1,1,3500,2,2000,2,1000,3,5,4,3,1,2,2000,3,0
6.63,3,1,3,0,8000,6,4,2,4,2,3,3,1,2,2,2,6500,4,3500,3,2500,3,5,4,4,1,1,8000,2,0
0.667,4,0,3,1,1000,2,1,2,4,2,3,1,1,2,3,2,2500,1,1500,1,0,4,4,1,2,4,5,500,5,0
7.033,5,0,3,0,8000,6,4,3,3,3,3,1,0,1,1,1,5500,4,2500,2,3000,2,5,3,4,2,1,6500,2,0
10.667,4,1,1,1,15000,8,5,2,4,2,1,3,3,4,4,4,9000,5,5500,5,2000,3,5,3,4,2,1,12500,2,0
3.333,3,1,3,0,5000,5,3,2,4,2,3,3,1,2,2,1,5000,3,3000,3,1500,3,5,4,4,1,1,5000,2,0
0.733,3,0,2,0,1000,2,1,2,4,2,2,1,0,1,1,1,3500,2,1500,1,2000,3,5,3,2,1,3,1000,4,0
2.1,5,1,3,0,3000,4,2,3,3,3,3,3,1,2,2,1,3000,2,1500,1,1000,3,5,3,3,1,2,3000,3,0
2.23,3,1,3,0,3000,4,2,2,4,2,3,3,1,2,2,1,4000,3,2000,2,1500,3,5,3,3,1,2,3000,3,0
2.9,4,1,3,0,3000,4,2,2,4,2,3,3,1,2,2,1,3500,2,2000,2,1000,3,5,3,3,1,2,3000,3,0
2.267,3,0,1,0,3000,4,2,2,4,2,1,1,0,1,1,1,4500,3,2000,2,2500,3,5,3,3,1,2,3000,3,0
12.963,3,1,1,0,15000,8,5,2,4,2,1,3,2,3,2,2,9500,5,5000,4,4000,2,5,4,5,1,1,15500,1,0
14.296,2,1,1,0,15000,8,5,1,5,1,1,3,2,3,2,2,9500,5,5000,4,4000,2,5,4,5,1,1,15500,1,0
1.6,4,1,2,0,2000,3,2,2,4,2,2,3,1,2,1,1,3500,2,2000,2,1000,3,5,3,3,1,2,2000,3,0
2.067,3,1,3,1,3000,4,2,2,4,2,3,3,2,3,4,3,4000,3,2500,2,500,4,4,2,3,3,2,2000,3,0
8.467,3,1,3,0,10000,7,5,2,4,2,3,3,1,2,2,2,7500,5,4000,4,3000,2,5,4,5,1,1,10000,1,0
7.667,6,1,1,0,8000,6,4,3,3,3,1,3,1,2,1,2,7000,4,3500,3,3000,2,5,4,4,1,1,8000,2,0
7.767,2,1,1,0,8000,6,4,1,5,1,1,3,1,2,1,2,7000,4,3500,3,3000,2,5,4,4,1,1,8000,2,0
3.963,6,1,1,0,5000,5,3,3,3,3,1,3,1,2,1,1,5500,4,3000,3,2000,3,5,4,4,1,1,5000,2,0
6.7,4,0,2,0,8000,6,4,2,4,2,2,1,0,1,1,1,6500,4,3000,3,3500,2,5,3,4,1,1,7500,2,0
2.363,3,1,1,0,3000,4,2,2,4,2,1,3,1,2,1,1,4500,3,2500,2,1500,3,5,4,3,1,2,3000,3,0
1.233,4,0,2,0,2000,3,2,2,4,2,2,1,0,1,1,1,3500,2,1500,1,2000,3,5,3,3,1,2,2000,3,0
1.03,4,1,2,0,2000,3,2,2,4,2,2,3,1,2,1,1,3500,2,2000,2,1000,3,5,3,3,1,2,2000,3,0
6.8,3,1,1,1,8000,6,4,2,4,2,1,3,2,3,3,4,7000,4,4500,4,1500,3,5,3,3,2,2,6500,3,0
3.833,8,0,3,0,5000,5,3,4,2,4,3,1,0,1,1,1,4000,3,2000,2,2000,3,5,3,3,2,2,4000,3,0
1.73,1,0,3,0,2000,3,2,1,5,1,3,1,0,1,1,1,4000,3,2000,2,2000,3,5,3,3,2,2,1500,3,0
6.167,3,1,1,1,8000,6,4,2,4,2,1,3,2,3,3,4,7000,4,4500,4,1500,3,5,3,3,2,2,6500,3,0
4.867,3,1,3,0,5000,5,3,2,4,2,3,3,1,2,2,1,5000,3,3000,3,1500,3,5,4,4,1,1,5000,2,0
1.033,1,1,2,0,2000,3,2,1,5,1,2,3,1,2,1,1,4500,3,2500,2,1500,3,5,4,3,1,2,2000,3,0
4.367,7,1,1,0,5000,5,3,4,2,4,1,3,1,2,1,1,5000,3,2500,2,2000,3,5,4,4,1,1,5000,2,0
1.363,5,1,1,0,2000,3,2,3,3,3,1,3,1,2,1,1,3000,2,1500,1,1000,3,5,3,3,1,2,2000,3,0
27.63,4,1,1,0,30000,10,5,2,4,2,1,3,2,3,2,2,12500,6,6500,5,5500,1,5,4,5,1,1,30500,1,0
8.033,3,1,3,0,10000,7,5,2,4,2,3,3,1,2,2,2,7500,5,4000,4,3000,2,5,4,5,1,1,10000,1,0
2.796,4,1,1,1,3000,4,2,2,4,2,1,3,2,3,3,3,4000,3,2500,2,500,4,4,2,3,2,2,2000,3,0
0.83,4,0,1,0,1000,2,1,2,4,2,1,1,0,1,1,1,3000,2,1500,1,1500,3,5,3,2,1,3,1000,4,0
3.63,6,0,1,0,5000,5,3,3,3,3,1,1,0,1,1,1,5500,4,2500,2,3000,2,5,4,3,1,2,5000,3,0
1.23,3,1,3,0,2000,3,2,2,4,2,3,3,1,2,2,1,3500,2,2000,2,1000,3,5,3,3,1,2,2000,3,0
0.222,5,-999,1,-999,500,1,1,3,3,3,1,0,0,1,1,1,2000,1,1000,1,1000,3,5,3,2,1,3,500,4,0
1.533,3,1,3,1,2000,3,2,2,4,2,3,3,2,3,4,3,3500,2,2500,2,0,4,4,2,3,3,2,1500,3,0
7.867,4,1,1,0,8000,6,4,2,4,2,1,3,1,2,1,2,6500,4,3500,3,2500,3,5,4,4,1,1,8000,2,0
6.963,8,1,1,1,8000,6,4,4,2,4,1,3,2,3,3,4,6000,4,3500,3,1500,3,5,3,3,2,2,6500,3,0
9.333,3,1,1,0,10000,7,5,2,4,2,1,3,1,2,1,2,8000,5,4000,4,3500,2,5,4,5,1,1,10000,1,0
1.996,2,1,1,1,2000,3,2,1,5,1,1,3,2,3,3,3,4000,3,2500,2,500,4,4,3,3,2,2,1500,3,0
1.667,4,1,1,0,2000,3,2,2,4,2,1,3,1,2,1,1,3500,2,2000,2,1000,3,5,4,3,1,2,2000,3,0
9.233,3,0,2,0,10000,7,5,2,4,2,2,1,0,1,1,1,8000,5,3500,3,4500,2,5,4,4,1,1,10000,2,0
1.267,8,1,2,0,2000,3,2,4,2,4,2,3,1,2,1,1,3000,2,1500,1,1000,3,5,3,3,1,2,2000,3,0
8.467,3,1,1,1,10000,7,5,2,4,2,1,3,2,3,3,4,8000,5,5000,4,2000,3,5,3,4,2,1,8500,2,0
11.963,4,1,1,1,15000,8,5,2,4,2,1,3,3,4,4,4,9000,5,5500,5,2000,3,5,3,4,2,1,12500,2,0
1.167,2,1,3,0,2000,3,2,1,5,1,3,3,1,2,2,1,3500,2,2000,2,1000,3,5,3,3,1,2,2000,3,0
2.7,4,1,1,1,3000,4,2,2,4,2,1,3,2,3,3,3,4000,3,2500,2,500,4,4,2,3,2,2,2000,3,0
2.863,6,1,1,0,3000,4,2,3,3,3,1,3,1,2,1,1,4500,3,2500,2,1500,3,5,4,3,1,2,3000,3,0
8.667,3,1,3,0,10000,7,5,2,4,2,3,3,1,2,2,2,7500,5,4000,4,3000,2,5,4,5,1,1,10000,1,0
5.767,5,0,2,0,8000,6,4,3,3,3,2,1,0,1,1,1,6000,4,2500,2,3500,2,5,3,4,1,1,7500,2,0
3.8,5,0,1,0,5000,5,3,3,3,3,1,1,0,1,1,1,4500,3,2000,2,2500,3,5,3,3,1,2,4500,3,0
