LoanAmount,MonthlyIncome,CreditScore,LoanDuration,HistoricalDelinquencies,DebtToIncomeRatio,Age,EmploymentDuration,OtherLoans,Homeownership,target,date,uid
13571,8888,629,25,6,0.7454796894977311,52,23,9,0,1,2023-08,100091
44976,9890,568,15,1,0.6805264359970896,55,19,9,0,1,2023-07,100092
43044,9449,724,14,7,0.8873782431214379,36,19,6,0,1,2023-05,100093
45774,4901,745,17,4,0.2647011518347827,68,14,0,0,0,2023-09,100094
7568,9101,567,38,3,0.2842082093590075,24,23,4,0,0,2023-08,100095
7027,7490,606,37,8,0.8916283503835578,42,8,6,0,1,2023-07,100096
7695,8193,608,39,5,0.6026213759090104,22,13,4,0,0,2023-07,100097
10258,3186,827,24,3,0.4184422470705898,58,4,4,0,0,2023-07,100098
27002,4597,602,38,7,0.79052558238823,56,12,5,0,1,2023-09,100099
44504,6408,640,53,2,0.9155229780835217,29,1,9,0,1,2023-05,100100
38159,6747,564,21,9,0.7516826289623697,46,5,9,0,1,2023-09,100101
18986,8687,633,55,1,0.8335460773427592,26,26,5,0,1,2023-05,100102
17666,5670,698,55,6,0.425997792156154,68,4,9,0,1,2023-08,100103
43660,7825,654,28,3,0.43102028752843397,48,16,1,0,0,2023-06,100104
8561,3239,578,31,3,0.891299104283706,68,25,9,0,0,2023-08,100105
31854,5580,749,50,9,0.6918902789241723,58,19,9,0,1,2023-05,100106
43952,7236,586,59,8,0.3873302013389892,25,20,8,0,1,2023-07,100107
27662,3138,803,49,1,0.6193294523697698,28,26,2,0,0,2023-09,100108
13392,5506,740,46,0,0.7486883771777995,27,19,0,0,0,2023-07,100109
35535,7165,587,42,6,0.3748392650006304,33,3,0,0,0,2023-05,100110
18067,7480,823,14,7,0.7239251265661888,57,16,8,0,1,2023-05,100111
28599,7725,671,35,2,0.23371587985421424,28,7,5,0,0,2023-08,100112
40222,5245,516,18,1,0.442953298403329,30,5,6,0,0,2023-05,100113
16837,7300,722,53,3,0.7391774493808918,30,21,1,0,0,2023-05,100114
19039,4749,793,47,1,0.31947925239192126,59,20,0,0,0,2023-07,100115
35818,3567,809,21,1,0.3777592245139991,54,26,1,0,0,2023-06,100116
24115,8077,718,51,4,0.9032746322867116,30,29,2,0,1,2023-06,100117
15965,7900,733,7,9,0.7394568795452867,55,24,2,0,1,2023-07,100118
29538,8806,747,36,4,0.5991349682053391,22,1,7,0,1,2023-06,100119
47530,3881,551,56,7,0.36871471370196185,64,11,3,0,1,2023-06,100120
10056,9131,514,48,8,0.4731277252658065,38,25,0,0,0,2023-07,100121
37482,8069,823,24,1,0.6594643986298874,27,27,1,0,1,2023-06,100122
13110,3639,611,16,0,0.32425007512373477,47,25,8,0,0,2023-05,100123
18773,8550,683,19,2,0.5853952639185511,20,27,1,0,0,2023-08,100124
32266,6961,506,52,5,0.527179515310418,59,21,8,0,1,2023-07,100125
22412,7420,550,30,4,0.5813498731420946,49,17,4,0,0,2023-06,100126
38270,7537,813,12,7,0.28444865702423955,60,28,3,0,1,2023-07,100127
11910,7899,740,20,7,0.2851976696360229,57,12,3,0,0,2023-09,100128
30446,5335,744,35,1,0.9712887621970572,30,18,2,0,0,2023-09,100129
5206,7321,685,36,8,0.9834941869798148,48,2,1,0,1,2023-07,100130
26518,8183,786,29,3,0.5409317263294546,50,22,7,0,1,2023-05,100131
27361,8062,591,30,0,0.83119636292067,29,10,5,0,0,2023-07,100132
28419,5985,605,13,1,0.7246331415384615,54,25,8,0,0,2023-05,100133
46523,3559,512,35,5,0.2935334836947112,59,19,1,0,0,2023-07,100134
27403,3713,645,41,4,0.43734292586775825,48,16,0,0,0,2023-09,100135
23141,7593,618,55,6,0.45092112691561637,56,8,7,0,1,2023-07,100136
19820,9992,702,19,8,0.6766195478873791,21,2,7,0,1,2023-07,100137
45342,6988,640,34,5,0.663981369851576,67,5,4,0,1,2023-05,100138
11374,9203,614,32,5,0.9388069549622045,20,28,1,0,1,2023-05,100139
6678,3256,651,58,1,0.8320290511810191,51,4,9,0,0,2023-09,100140
38827,3576,556,55,6,0.885478131682379,43,21,4,0,1,2023-06,100141
21198,9382,656,41,1,0.9129828908888076,21,4,7,0,1,2023-06,100142
14914,3037,809,39,6,0.8410213380439844,22,1,3,0,0,2023-07,100143
32890,5072,632,26,7,0.46630500884568615,28,15,1,0,0,2023-08,100144
27299,7505,662,43,0,0.37201037706760004,68,13,2,0,0,2023-06,100145
48585,3460,774,16,8,0.6574138704168375,43,17,2,0,1,2023-07,100146
48689,4440,682,38,7,0.7516546531626551,31,6,8,0,1,2023-06,100147
47557,9500,576,20,8,0.5092543751705327,53,24,2,0,1,2023-07,100148
49020,7478,824,17,4,0.8786709199716083,53,23,0,0,1,2023-05,100149
7693,4832,543,29,3,0.9684532742543868,42,20,6,0,0,2023-07,100150
34467,7664,705,55,0,0.6555165809098816,38,13,0,0,0,2023-05,100151
34723,8167,537,42,8,0.5652736497729747,51,21,5,0,1,2023-09,100152
8627,6399,817,16,3,0.8743096935540144,68,24,9,0,1,2023-08,100153
30939,3432,521,58,3,0.21941563759150934,47,22,3,0,0,2023-09,100154
47941,7151,572,24,3,0.30321009266739846,45,24,6,0,0,2023-07,100155
26834,9720,740,59,1,0.8765261272050142,68,22,6,0,1,2023-05,100156
23047,9411,653,6,3,0.7856228685183939,64,29,6,0,1,2023-07,100157
31105,9212,736,22,1,0.5329093585634608,31,24,5,0,1,2023-08,100158
15230,4751,504,45,7,0.911081486179524,62,12,6,0,1,2023-06,100159
20707,5047,720,21,6,0.4811666301163097,50,12,7,0,0,2023-07,100160
26976,7997,809,31,9,0.707076286293534,30,20,2,0,1,2023-05,100161
49262,8720,585,48,1,0.7074675762607328,59,10,4,0,1,2023-08,100162
28776,5840,676,56,1,0.347465514091389,69,2,9,0,0,2023-09,100163
35080,3256,758,48,1,0.42788138893124644,23,15,8,0,0,2023-06,100164
6306,3671,719,20,0,0.9328055381568687,37,19,7,0,0,2023-08,100165
11776,3489,537,13,5,0.3467318830347337,48,21,5,0,0,2023-05,100166
32251,9889,641,35,5,0.33885969747809963,66,4,8,0,1,2023-06,100167
14474,6714,734,19,0,0.5836923789870992,58,21,9,0,0,2023-07,100168
45294,5096,702,38,0,0.2737578945902728,66,14,4,0,0,2023-06,100169
26959,4682,828,47,5,0.9157009511874987,50,1,1,0,1,2023-08,100170
10530,7411,793,12,5,0.28011931064997686,47,1,8,0,0,2023-07,100171
34320,5460,671,23,3,0.6932459814726355,46,28,4,0,1,2023-05,100172
8748,7529,624,17,2,0.4718254851562545,49,18,7,0,0,2023-05,100173
36968,8121,825,7,8,0.8434183083768272,68,15,7,0,1,2023-05,100174
37562,6912,564,55,5,0.6718485966140308,61,11,3,0,1,2023-09,100175
18545,4975,780,34,0,0.5106449128635506,30,18,3,0,0,2023-08,100176
5663,6216,771,26,2,0.9870983876358486,33,29,0,0,0,2023-09,100177
39766,9075,743,12,0,0.25298479077242453,23,24,4,0,0,2023-07,100178
12994,4389,514,57,2,0.6622290425845414,55,10,8,0,0,2023-05,100179
33021,7515,725,32,1,0.991654649235236,20,4,4,0,1,2023-08,100180
35303,8692,630,17,4,0.7527621145704138,63,14,4,0,1,2023-07,100181
8304,6856,694,25,2,0.7918157053137544,58,22,5,0,0,2023-07,100182
44353,4584,792,19,6,0.22567291566358874,56,18,5,0,1,2023-06,100183
22675,7939,708,15,7,0.21709053047756993,52,1,7,0,0,2023-08,100184
49417,8563,612,46,6,0.22888808958575427,40,28,0,0,1,2023-08,100185
28938,5963,743,28,1,0.9933791217409857,43,7,4,0,0,2023-05,100186
28664,7529,665,35,9,0.9836158085926812,59,4,8,0,1,2023-09,100187
6636,9786,690,52,9,0.4676071406114095,69,4,2,0,1,2023-08,100188
25080,8674,756,36,6,0.43278545301266313,32,18,6,0,1,2023-07,100189
32728,9200,826,57,9,0.3167669964142754,68,9,6,0,1,2023-08,100190
31736,8059,717,15,2,0.46331223933180676,53,2,9,0,0,2023-05,100191
33673,3976,774,24,6,0.49611994443781626,57,5,2,0,0,2023-09,100192
42505,6364,551,24,0,0.798626253407227,48,6,6,0,0,2023-06,100193
5854,3045,657,49,1,0.8930348423357879,55,3,2,0,0,2023-06,100194
29548,4193,554,28,9,0.7973880957931105,59,27,5,0,1,2023-09,100195
43623,6342,513,49,0,0.7171800808764581,66,19,7,0,1,2023-06,100196
12392,7512,768,46,8,0.8127200624710385,24,22,7,0,1,2023-09,100197
26556,7943,839,37,1,0.7907979833214442,39,21,5,0,1,2023-06,100198
43559,9282,589,25,1,0.5805997549843158,48,5,1,0,0,2023-07,100199
31309,3246,526,9,5,0.4686811219690863,30,21,0,0,0,2023-06,100200
26919,6219,588,38,6,0.42622457350207965,27,9,2,0,0,2023-08,100201
9931,7325,540,53,1,0.7434843676102254,47,24,2,0,0,2023-05,100202
37970,3791,803,6,3,0.9674432995561801,68,20,6,0,1,2023-09,100203
49215,3636,767,18,2,0.6648437751485041,60,6,3,0,0,2023-06,100204
17688,6775,637,8,4,0.9300212019778129,37,5,1,0,0,2023-07,100205
30342,5421,505,17,8,0.21138349677835802,49,27,1,0,0,2023-05,100206
42157,7833,741,34,1,0.8355765173888046,33,6,6,0,1,2023-09,100207
7327,4088,661,36,4,0.8828821263680637,28,15,7,0,0,2023-09,100208
45772,7183,679,46,7,0.7047950703549566,29,11,4,0,1,2023-07,100209
45545,6159,796,41,5,0.9472487994893837,44,24,1,0,1,2023-09,100210
5197,3712,505,7,3,0.6719303943050396,46,22,2,0,0,2023-09,100211
28509,8845,770,27,9,0.39242952202139947,21,22,0,0,1,2023-07,100212
39698,8323,771,27,7,0.3725737835585554,22,18,9,0,1,2023-06,100213
49542,9032,655,46,2,0.6446690133541721,48,23,3,0,1,2023-07,100214
20087,8501,584,36,3,0.9251871443969688,56,28,6,0,1,2023-06,100215
27671,7696,699,57,8,0.2578943566040616,46,29,9,0,1,2023-07,100216
30184,8595,509,50,4,0.6835124097687288,23,28,8,0,1,2023-09,100217
32848,6644,637,19,5,0.8158427783856197,54,29,2,0,1,2023-06,100218
47107,6890,741,34,1,0.2923216556988553,46,19,3,0,0,2023-09,100219
25666,5586,700,40,8,0.2934157525696104,38,12,5,0,0,2023-09,100220
49357,7309,655,55,7,0.4929023973356705,29,12,0,0,1,2023-09,100221
20708,9217,774,14,6,0.4191049388397735,45,29,4,0,1,2023-07,100222
31370,5108,724,52,8,0.35865132711495185,26,29,9,0,1,2023-07,100223
7811,7793,567,59,4,0.3589553388890762,46,7,4,0,0,2023-09,100224
11546,6614,683,37,4,0.3045352259398687,49,16,9,0,0,2023-05,100225
39754,4242,694,32,8,0.688683210465562,31,12,8,0,1,2023-08,100226
35206,5059,541,15,4,0.7505004828672697,59,21,8,0,1,2023-07,100227
46106,9957,650,30,8,0.7623489815032356,24,4,0,0,1,2023-06,100228
16411,6486,583,54,0,0.6258831809108849,32,10,2,0,0,2023-08,100229
7911,9175,633,50,9,0.9623250157324534,60,28,3,0,1,2023-06,100230
6734,8279,808,38,9,0.9044262220720527,23,17,0,0,1,2023-09,100231
23227,8096,797,16,7,0.966104914133024,21,28,8,0,1,2023-08,100232
13680,7332,529,42,2,0.5110363825017423,56,15,1,0,0,2023-08,100233
24360,6810,508,14,7,0.9022265279640198,53,8,4,0,0,2023-07,100234
23343,8300,669,12,4,0.810299759525507,69,14,2,0,1,2023-06,100235
10759,6900,789,12,1,0.4719783224272105,25,18,3,0,0,2023-08,100236
28078,5605,667,39,8,0.28527460680337546,45,26,3,0,1,2023-08,100237
40153,8577,843,24,3,0.7460969999174463,30,8,1,0,1,2023-05,100238
16111,8199,644,25,6,0.3091618592975043,61,14,1,0,0,2023-06,100239
42504,7742,727,55,7,0.43502064560088965,20,23,7,0,1,2023-09,100240
6802,6034,805,47,6,0.6002916611550299,53,16,1,0,0,2023-08,100241
13155,9963,575,30,5,0.7439060281187786,40,19,9,0,1,2023-08,100242
13120,7568,722,10,6,0.9409821257578439,29,27,6,0,1,2023-06,100243
44384,7207,676,53,3,0.6745920358791972,24,7,0,0,1,2023-08,100244
26918,7051,688,34,9,0.7371304797376759,45,17,0,0,1,2023-08,100245
25445,6363,801,32,0,0.44801108012078245,63,5,9,0,0,2023-07,100246
35306,7021,545,30,4,0.7498340931428311,38,13,2,0,0,2023-05,100247
21646,4845,516,42,7,0.5502320965840597,40,18,2,0,0,2023-05,100248
36065,8750,565,20,9,0.8855449463070191,53,18,8,0,1,2023-07,100249
30199,3382,760,59,5,0.5139604111211795,48,19,1,0,0,2023-08,100250
46976,7112,622,53,4,0.5746176173252455,57,23,3,0,1,2023-05,100251
21371,7588,730,9,1,0.5460702055282063,34,18,2,0,0,2023-07,100252
16835,6810,624,19,9,0.848898267445908,59,20,6,0,1,2023-07,100253
7049,4896,611,54,4,0.9629593576095243,35,20,5,0,0,2023-05,100254
36616,4509,771,22,9,0.46182104078661923,37,17,8,0,1,2023-06,100255
43191,7212,580,26,2,0.5800223206096615,68,23,7,0,1,2023-08,100256
25932,4578,745,21,1,0.7647410133545887,20,4,1,0,0,2023-08,100257
34855,3879,846,31,2,0.9163052976277848,30,17,2,0,1,2023-08,100258
12158,5162,827,14,3,0.5949605574768166,55,19,0,0,0,2023-08,100259
48016,8914,714,7,1,0.28711480658138183,51,8,7,0,1,2023-07,100260
12400,4572,734,48,3,0.4949371068010573,47,20,1,0,0,2023-09,100261
47642,9957,581,20,3,0.6402895083520904,25,1,3,0,1,2023-09,100262
20151,4648,793,40,5,0.534019684772826,26,7,1,0,0,2023-08,100263
6154,7739,809,29,4,0.3492445814304561,59,8,1,0,0,2023-07,100264
9499,4359,575,53,6,0.229591596274574,43,5,2,0,0,2023-09,100265
11295,7431,514,58,6,0.749926932863916,29,9,9,0,1,2023-05,100266
17183,5969,719,56,2,0.994189752621714,49,7,4,0,1,2023-05,100267
34299,6960,729,59,8,0.9353653071172936,36,4,7,0,1,2023-09,100268
17874,6811,764,43,6,0.7466167286886509,63,25,9,0,1,2023-09,100269
37711,7242,763,19,6,0.8732238468131435,27,22,1,0,1,2023-09,100270
10539,7217,609,42,1,0.40458209477375456,31,27,4,0,0,2023-09,100271
47405,3080,806,42,9,0.6979475488627571,45,8,3,0,1,2023-07,100272
7557,5732,699,11,2,0.24848337231917236,36,2,2,0,0,2023-09,100273
43360,5709,725,23,2,0.7657471418499662,54,5,9,0,1,2023-06,100274
21482,5422,684,27,5,0.9758978712194148,65,3,5,0,1,2023-09,100275
7200,6641,530,23,3,0.8886378457742874,63,5,8,0,0,2023-07,100276
7961,9206,601,56,3,0.62755269981731,24,24,7,0,0,2023-05,100277
26357,7599,758,7,0,0.8309921754502214,64,29,1,0,0,2023-08,100278
16969,3667,598,37,5,0.9551190479585319,30,22,0,0,0,2023-06,100279
7869,5496,838,22,7,0.3728140623513723,35,1,7,0,0,2023-06,100280
33643,6499,798,6,7,0.8346068103819024,61,7,4,0,1,2023-05,100281
29736,6498,784,14,7,0.4158775663750827,49,10,1,0,0,2023-05,100282
43467,4444,765,18,4,0.9015579375517333,59,16,9,0,1,2023-08,100283
28328,4345,639,41,9,0.2786836045521164,25,1,0,0,0,2023-07,100284
30876,9823,801,42,5,0.3425747350958732,39,17,7,0,1,2023-09,100285
26295,4189,785,35,4,0.7764931707774414,39,4,7,0,1,2023-07,100286
8987,8716,849,36,3,0.3398220030905992,43,16,5,0,0,2023-09,100287
27399,9076,715,28,3,0.32644344152243554,46,9,4,0,0,2023-09,100288
38986,8768,531,55,3,0.6443735019190977,22,8,4,0,1,2023-05,100289
25880,9604,802,33,3,0.8679897901672566,43,26,5,0,1,2023-05,100290
9735,3458,587,15,5,0.41477394021970326,29,19,4,0,0,2023-06,100291
49064,4212,562,30,5,0.872910546164388,44,22,1,0,1,2023-09,100292
9555,7559,778,41,4,0.8463627172367798,47,17,6,0,1,2023-09,100293
46914,3911,573,31,8,0.6632843207674683,37,10,3,0,1,2023-06,100294
45818,9522,805,31,7,0.7172502029498162,61,17,6,0,1,2023-05,100295
24830,4025,623,50,9,0.23235294928952657,64,22,0,0,0,2023-09,100296
22429,5411,768,18,5,0.49370844664297064,33,21,5,0,0,2023-07,100297
11893,3071,784,22,8,0.41071594489468205,20,16,1,0,0,2023-05,100298
19373,8546,620,45,4,0.32000308858197796,39,22,2,0,0,2023-09,100299
8436,5685,845,9,9,0.5117274633255853,66,9,2,0,0,2023-09,100300
13754,4193,711,28,3,0.4839233570779463,44,28,9,0,0,2023-05,100301
15677,4848,647,40,5,0.7831133425037817,31,5,0,0,0,2023-06,100302
10895,5384,577,16,3,0.6784770723814026,67,2,4,0,0,2023-09,100303
24738,5022,513,17,7,0.9304800550416155,58,14,7,0,1,2023-07,100304
35746,9338,635,14,6,0.31632606644467115,65,17,7,0,1,2023-09,100305
37352,6741,803,20,4,0.2477988842588208,28,13,9,0,1,2023-09,100306
44790,8107,779,50,9,0.6276862299929029,28,13,6,0,1,2023-05,100307
46919,7748,578,42,5,0.20082171088862807,61,27,6,0,1,2023-08,100308
10600,4298,742,10,6,0.8301751545079725,60,13,7,0,0,2023-08,100309
34124,7102,692,24,1,0.6047783109480076,44,18,7,0,1,2023-05,100310
32643,3904,741,16,8,0.5904524608463149,49,24,4,0,1,2023-05,100311
45764,6026,550,14,6,0.4899967829793395,67,1,6,0,1,2023-07,100312
14007,5028,731,40,7,0.49997906891901006,59,22,1,0,0,2023-07,100313
42410,9709,758,55,4,0.5449069426005246,47,21,3,0,1,2023-07,100314
49080,7711,717,32,2,0.21282587554082416,21,26,5,0,1,2023-06,100315
45447,8969,705,18,1,0.26683662977296374,44,27,9,0,1,2023-07,100316
13208,5620,813,17,1,0.6040384160089897,37,25,2,0,0,2023-06,100317
23589,5646,810,14,2,0.3200978121758433,43,4,1,0,0,2023-09,100318
48484,7865,619,47,0,0.8230100866775987,37,21,0,0,1,2023-06,100319
22453,5289,579,33,0,0.41958813920362065,46,5,3,0,0,2023-09,100320
41212,8662,541,18,6,0.27831970987945925,63,11,1,0,0,2023-06,100321
48525,6872,520,25,9,0.38816794072275984,54,2,2,0,1,2023-07,100322
37635,4485,509,57,7,0.4856785841246305,53,27,9,0,1,2023-06,100323
38828,6151,812,18,5,0.2282532868759069,57,2,5,0,0,2023-09,100324
23711,4440,652,32,6,0.3133404195090632,25,25,9,0,0,2023-09,100325
8420,3765,811,31,0,0.45907740358201576,68,29,2,0,0,2023-09,100326
36216,7479,793,34,0,0.44838437904781125,35,28,2,0,0,2023-08,100327
5301,5438,585,34,8,0.8403093572478715,42,16,3,0,0,2023-06,100328
5699,7092,612,27,4,0.8746043802501224,47,3,2,0,0,2023-08,100329
5190,7783,688,14,6,0.35473487931484,32,6,5,0,0,2023-09,100330
15492,4149,611,29,5,0.29915190713027795,31,20,8,0,0,2023-08,100331
40743,6565,674,47,3,0.7073299874571346,30,4,7,0,1,2023-09,100332
11102,7142,809,24,0,0.8436988445563451,66,5,1,0,0,2023-06,100333
24778,4972,801,43,3,0.9709784777793053,68,21,2,0,1,2023-09,100334
31641,5666,503,36,9,0.20543702779721143,41,7,7,0,0,2023-08,100335
39584,3463,721,44,9,0.5309424907414436,50,7,2,0,1,2023-09,100336
37745,8968,720,20,7,0.7871902672755084,46,28,4,0,1,2023-08,100337
28093,7218,670,59,0,0.8628474390994836,46,17,8,0,1,2023-07,100338
5569,5181,817,37,1,0.24982875894647824,59,6,1,0,0,2023-08,100339
43210,4642,712,56,7,0.744491615571302,45,4,8,0,1,2023-09,100340
39663,6888,752,51,1,0.43115097391917606,26,2,9,0,1,2023-07,100341
41631,3840,623,53,9,0.25967756746650034,30,6,4,0,0,2023-09,100342
12455,8681,627,51,8,0.5912820654037338,41,7,8,0,1,2023-05,100343
9014,9992,712,34,2,0.3265226745633168,59,2,3,0,0,2023-05,100344
16093,5654,611,57,2,0.7896060144493477,38,18,7,0,0,2023-07,100345
23070,8899,584,39,5,0.7930094397595628,57,10,7,0,1,2023-09,100346
40777,7118,503,14,2,0.8736542119900077,39,27,2,0,0,2023-06,100347
21538,3565,564,40,8,0.5020549481182017,38,7,4,0,0,2023-08,100348
15729,9005,817,11,7,0.2106478377845149,38,9,9,0,1,2023-07,100349
39177,9909,845,42,3,0.4077887506995838,55,19,0,0,1,2023-06,100350
5784,3964,619,19,5,0.5742493596202216,66,19,5,0,0,2023-06,100351
32751,5282,742,52,7,0.7552090235328404,46,24,8,0,1,2023-05,100352
45864,3995,636,55,3,0.5056324685493931,36,2,0,0,0,2023-07,100353
45328,4187,746,54,4,0.6288387168537104,37,25,1,0,1,2023-07,100354
17533,8890,544,14,6,0.6194108699645735,39,23,6,0,0,2023-06,100355
